"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"1-4 years"	"1-4"	31	74614	41.5
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"5-14 years"	"5-14"	36	192507	18.7
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"15-24 years"	"15-24"	100	195320	51.2
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"25-34 years"	"25-34"	204	197506	103.3
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"35-44 years"	"35-44"	366	185172	197.7
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"45-54 years"	"45-54"	838	187287	447.4
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"55-64 years"	"55-64"	1864	199462	934.5
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"65-74 years"	"65-74"	2952	157942	1869.0
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"75-84 years"	"75-84"	4007	87831	4562.2
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"85+ years"	"85+"	5023	38043	13203.5
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"< 1 year"	"1"	153	18903	809.4
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"1-4 years"	"1-4"	31	78828	39.3
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"5-14 years"	"5-14"	42	201563	20.8
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"15-24 years"	"15-24"	265	204025	129.9
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"25-34 years"	"25-34"	416	199082	209.0
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"35-44 years"	"35-44"	617	183346	336.5
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"45-54 years"	"45-54"	1221	181380	673.2
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"55-64 years"	"55-64"	2791	185005	1508.6
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"65-74 years"	"65-74"	3814	138069	2762.4
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"75-84 years"	"75-84"	4255	68968	6169.5
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"85+ years"	"85+"	3184	20974	15180.7
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"< 1 year"	"1"	847	233156	363.3
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"1-4 years"	"1-4"	137	958629	14.3
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"5-14 years"	"5-14"	221	2463135	9.0
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"15-24 years"	"15-24"	773	2561700	30.2
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"25-34 years"	"25-34"	1508	2924517	51.6
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"35-44 years"	"35-44"	2576	2602784	99.0
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"45-54 years"	"45-54"	5708	2546303	224.2
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"55-64 years"	"55-64"	12886	2456773	524.5
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"65-74 years"	"65-74"	20379	1756338	1160.3
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"75-84 years"	"75-84"	29628	922023	3213.4
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"85+ years"	"85+"	54035	468110	11543.2
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"< 1 year"	"1"	1062	244164	435.0
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"1-4 years"	"1-4"	205	1005351	20.4
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"5-14 years"	"5-14"	257	2573740	10.0
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"15-24 years"	"15-24"	2142	2695475	79.5
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"25-34 years"	"25-34"	3851	3119282	123.5
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"35-44 years"	"35-44"	4837	2652887	182.3
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"45-54 years"	"45-54"	9757	2525671	386.3
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"55-64 years"	"55-64"	21312	2324453	916.9
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"65-74 years"	"65-74"	28424	1529076	1858.9
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"75-84 years"	"75-84"	32111	718003	4472.3
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"85+ years"	"85+"	36138	275475	13118.4
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"Not Stated"	"NS"	19	Not Applicable	Not Applicable
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"< 1 year"	"1"	131	32327	405.2
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"1-4 years"	"1-4"	34	132652	25.6
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"5-14 years"	"5-14"	44	348327	12.6
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"15-24 years"	"15-24"	146	356340	41.0
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"25-34 years"	"25-34"	281	426692	65.9
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"35-44 years"	"35-44"	428	378828	113.0
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"45-54 years"	"45-54"	885	350846	252.2
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"55-64 years"	"55-64"	1882	364075	516.9
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"65-74 years"	"65-74"	2967	261022	1136.7
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"75-84 years"	"75-84"	4251	120617	3524.4
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"85+ years"	"85+"	7249	55970	12951.6
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"< 1 year"	"1"	167	33798	494.1
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"1-4 years"	"1-4"	43	138077	31.1
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"5-14 years"	"5-14"	55	365004	15.1
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"15-24 years"	"15-24"	398	385538	103.2
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"25-34 years"	"25-34"	760	467730	162.5
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"35-44 years"	"35-44"	902	401251	224.8
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"45-54 years"	"45-54"	1424	359325	396.3
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"55-64 years"	"55-64"	3142	346525	906.7
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"65-74 years"	"65-74"	4140	239776	1726.6
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"75-84 years"	"75-84"	4457	98450	4527.2
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"85+ years"	"85+"	4740	32394	14632.3
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"< 1 year"	"1"	65	17123	379.6
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	72324	Suppressed
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"5-14 years"	"5-14"	14	203168	Unreliable
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"15-24 years"	"15-24"	70	236325	29.6
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"25-34 years"	"25-34"	182	217773	83.6
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"35-44 years"	"35-44"	245	215731	113.6
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"45-54 years"	"45-54"	576	255354	225.6
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"55-64 years"	"55-64"	1320	264509	499.0
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"65-74 years"	"65-74"	2090	183756	1137.4
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"75-84 years"	"75-84"	3518	102499	3432.2
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"85+ years"	"85+"	7792	60708	12835.2
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"< 1 year"	"1"	82	17990	455.8
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"1-4 years"	"1-4"	12	75697	Unreliable
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"5-14 years"	"5-14"	29	210740	13.8
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"15-24 years"	"15-24"	188	248695	75.6
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"25-34 years"	"25-34"	373	227617	163.9
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"35-44 years"	"35-44"	512	207605	246.6
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"45-54 years"	"45-54"	1048	239597	437.4
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"55-64 years"	"55-64"	2145	247296	867.4
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"65-74 years"	"65-74"	2822	159814	1765.8
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"75-84 years"	"75-84"	3511	77181	4549.0
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"85+ years"	"85+"	4629	31163	14854.2
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"< 1 year"	"1"	31	5197	596.5
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	21956	Suppressed
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"5-14 years"	"5-14"	Suppressed	56363	Suppressed
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"15-24 years"	"15-24"	25	58440	42.8
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"25-34 years"	"25-34"	69	64314	107.3
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"35-44 years"	"35-44"	91	56995	159.7
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"45-54 years"	"45-54"	202	63750	316.9
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"55-64 years"	"55-64"	465	72038	645.5
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"65-74 years"	"65-74"	779	58364	1334.7
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"75-84 years"	"75-84"	1104	29309	3766.8
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"85+ years"	"85+"	1734	12518	13852.1
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"< 1 year"	"1"	31	5448	569.0
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"1-4 years"	"1-4"	11	22210	Unreliable
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"5-14 years"	"5-14"	10	57538	Unreliable
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"15-24 years"	"15-24"	75	60272	124.4
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"25-34 years"	"25-34"	166	64749	256.4
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"35-44 years"	"35-44"	200	54473	367.2
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"45-54 years"	"45-54"	353	58741	600.9
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"55-64 years"	"55-64"	698	63601	1097.5
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"65-74 years"	"65-74"	1029	49830	2065.0
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"75-84 years"	"75-84"	1203	23746	5066.1
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"85+ years"	"85+"	1145	7319	15644.2
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"< 1 year"	"1"	29	4846	598.4
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	17668	Suppressed
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"5-14 years"	"5-14"	Suppressed	32775	Suppressed
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"15-24 years"	"15-24"	Suppressed	48496	Suppressed
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"25-34 years"	"25-34"	41	86919	47.2
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"35-44 years"	"35-44"	65	53524	121.4
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"45-54 years"	"45-54"	157	37617	417.4
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"55-64 years"	"55-64"	365	36838	990.8
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"65-74 years"	"65-74"	431	27920	1543.7
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"75-84 years"	"75-84"	471	14398	3271.3
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"85+ years"	"85+"	880	8147	10801.5
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"< 1 year"	"1"	35	5024	696.7
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	18079	Suppressed
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"5-14 years"	"5-14"	Suppressed	33420	Suppressed
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"15-24 years"	"15-24"	66	41328	159.7
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"25-34 years"	"25-34"	114	77168	147.7
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"35-44 years"	"35-44"	134	52150	257.0
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"45-54 years"	"45-54"	242	37836	639.6
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"55-64 years"	"55-64"	535	33464	1598.7
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"65-74 years"	"65-74"	530	21184	2501.9
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"75-84 years"	"75-84"	442	9648	4581.3
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"85+ years"	"85+"	446	4006	11133.3
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"< 1 year"	"1"	583	108524	537.2
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"1-4 years"	"1-4"	93	449778	20.7
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"5-14 years"	"5-14"	128	1157902	11.1
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"15-24 years"	"15-24"	514	1209115	42.5
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"25-34 years"	"25-34"	1270	1370931	92.6
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"35-44 years"	"35-44"	1933	1294981	149.3
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"45-54 years"	"45-54"	4290	1399689	306.5
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"55-64 years"	"55-64"	9996	1503801	664.7
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"65-74 years"	"65-74"	16200	1290361	1255.5
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"75-84 years"	"75-84"	23535	758332	3103.5
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"85+ years"	"85+"	38568	344134	11207.3
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"< 1 year"	"1"	749	113516	659.8
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"1-4 years"	"1-4"	153	471365	32.5
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"5-14 years"	"5-14"	172	1205932	14.3
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"15-24 years"	"15-24"	1348	1267130	106.4
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"25-34 years"	"25-34"	2651	1417324	187.0
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"35-44 years"	"35-44"	3424	1273783	268.8
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"45-54 years"	"45-54"	6725	1346683	499.4
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"55-64 years"	"55-64"	15905	1350800	1177.5
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"65-74 years"	"65-74"	22843	1107541	2062.5
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"75-84 years"	"75-84"	27093	630418	4297.6
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"85+ years"	"85+"	27244	227285	11986.7
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"< 1 year"	"1"	412	62029	664.2
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"1-4 years"	"1-4"	52	260042	20.0
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"5-14 years"	"5-14"	85	693877	12.3
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"15-24 years"	"15-24"	298	710131	42.0
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"25-34 years"	"25-34"	629	742604	84.7
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"35-44 years"	"35-44"	1121	710664	157.7
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"45-54 years"	"45-54"	2426	725932	334.2
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"55-64 years"	"55-64"	5320	674890	788.3
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	"65-74 years"	"65-74"	7967	487660	1633.7
