"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"70-74 years"	"70-74"	3489	99022	3523.5
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"75-79 years"	"75-79"	3462	65915	5252.2
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"80-84 years"	"80-84"	3359	40077	8381.4
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"85-89 years"	"85-89"	2779	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"90-94 years"	"90-94"	1567	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"95-99 years"	"95-99"	493	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"100+ years"	"100+"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"< 1 year"	"1"	203	27821	729.7
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"1-4 years"	"1-4"	45	116821	38.5
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"5-9 years"	"5-9"	30	145957	20.6
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"10-14 years"	"10-14"	20	152364	13.1
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"15-19 years"	"15-19"	64	154529	41.4
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"20-24 years"	"20-24"	112	160699	69.7
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"25-29 years"	"25-29"	140	169504	82.6
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"30-34 years"	"30-34"	223	157860	141.3
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"35-39 years"	"35-39"	303	156924	193.1
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"40-44 years"	"40-44"	352	149802	235.0
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"45-49 years"	"45-49"	550	159489	344.9
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"50-54 years"	"50-54"	803	158420	506.9
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"55-59 years"	"55-59"	1295	174936	740.3
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"60-64 years "	"60-64"	1861	169856	1095.6
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"65-69 years"	"65-69"	2279	148101	1538.8
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"70-74 years"	"70-74"	2792	122813	2273.4
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"75-79 years"	"75-79"	3057	87733	3484.4
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"80-84 years"	"80-84"	3608	59818	6031.6
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"85-89 years"	"85-89"	3612	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"90-94 years"	"90-94"	2994	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"95-99 years"	"95-99"	1357	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"100+ years"	"100+"	320	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"< 1 year"	"1"	246	29080	845.9
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"1-4 years"	"1-4"	68	120635	56.4
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"5-9 years"	"5-9"	30	152011	19.7
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"10-14 years"	"10-14"	46	158134	29.1
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"15-19 years"	"15-19"	171	159086	107.5
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"20-24 years"	"20-24"	276	161393	171.0
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"25-29 years"	"25-29"	358	168634	212.3
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"30-34 years"	"30-34"	437	151231	289.0
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"35-39 years"	"35-39"	506	147221	343.7
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"40-44 years"	"40-44"	633	139359	454.2
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"45-49 years"	"45-49"	869	149462	581.4
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"50-54 years"	"50-54"	1225	149245	820.8
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"55-59 years"	"55-59"	2063	161384	1278.3
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"60-64 years "	"60-64"	2724	151491	1798.1
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"65-69 years"	"65-69"	3302	127347	2592.9
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"70-74 years"	"70-74"	3544	103186	3434.6
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"75-79 years"	"75-79"	3544	68081	5205.6
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"80-84 years"	"80-84"	3249	41215	7883.1
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"85-89 years"	"85-89"	2683	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"90-94 years"	"90-94"	1593	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"95-99 years"	"95-99"	470	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"100+ years"	"100+"	51	Not Applicable	Not Applicable
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"< 1 year"	"1"	162	27547	588.1
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"1-4 years"	"1-4"	40	115270	34.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"5-9 years"	"5-9"	22	146874	15.0
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"10-14 years"	"10-14"	13	152508	Unreliable
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"15-19 years"	"15-19"	52	152853	34.0
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"20-24 years"	"20-24"	127	161467	78.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"25-29 years"	"25-29"	149	166063	89.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"30-34 years"	"30-34"	269	162534	165.5
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"35-39 years"	"35-39"	347	156516	221.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"40-44 years"	"40-44"	471	152182	309.5
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"45-49 years"	"45-49"	676	156466	432.0
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"50-54 years"	"50-54"	1028	157503	652.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"55-59 years"	"55-59"	1542	172964	891.5
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"60-64 years "	"60-64"	2291	171395	1336.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"65-69 years"	"65-69"	2692	151842	1772.9
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"70-74 years"	"70-74"	3390	128503	2638.1
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"75-79 years"	"75-79"	3757	90130	4168.4
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"80-84 years"	"80-84"	4301	61017	7048.9
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"85-89 years"	"85-89"	4262	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"90-94 years"	"90-94"	3509	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"95-99 years"	"95-99"	1576	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"100+ years"	"100+"	364	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"< 1 year"	"1"	242	28699	843.2
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"1-4 years"	"1-4"	50	120404	41.5
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"5-9 years"	"5-9"	31	152530	20.3
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"10-14 years"	"10-14"	38	157702	24.1
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"15-19 years"	"15-19"	194	157274	123.4
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"20-24 years"	"20-24"	355	161797	219.4
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"25-29 years"	"25-29"	429	165836	258.7
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"30-34 years"	"30-34"	524	156113	335.7
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"35-39 years"	"35-39"	625	146356	427.0
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"40-44 years"	"40-44"	783	141308	554.1
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"45-49 years"	"45-49"	1012	146015	693.1
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"50-54 years"	"50-54"	1457	148190	983.2
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"55-59 years"	"55-59"	2387	159697	1494.7
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"60-64 years "	"60-64"	3365	153225	2196.1
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"65-69 years"	"65-69"	3795	130086	2917.3
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"70-74 years"	"70-74"	4446	107286	4144.1
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"75-79 years"	"75-79"	4300	70219	6123.7
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"80-84 years"	"80-84"	3970	42302	9384.9
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"85-89 years"	"85-89"	3298	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"90-94 years"	"90-94"	1858	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"95-99 years"	"95-99"	519	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"100+ years"	"100+"	61	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"< 1 year"	"1"	191	27162	703.2
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"1-4 years"	"1-4"	44	115279	38.2
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"5-9 years"	"5-9"	22	151049	14.6
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"10-14 years"	"10-14"	20	159751	12.5
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"15-19 years"	"15-19"	66	159313	41.4
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"20-24 years"	"20-24"	151	164940	91.5
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"25-29 years"	"25-29"	211	162974	129.5
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"30-34 years"	"30-34"	350	169551	206.4
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"35-39 years"	"35-39"	407	160798	253.1
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"40-44 years"	"40-44"	616	158824	387.9
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"45-49 years"	"45-49"	819	154957	528.5
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"50-54 years"	"50-54"	1154	163289	706.7
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"55-59 years"	"55-59"	1791	173147	1034.4
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"60-64 years "	"60-64"	2527	174995	1444.0
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"65-69 years"	"65-69"	2979	156918	1898.4
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"70-74 years"	"70-74"	3797	134094	2831.6
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"75-79 years"	"75-79"	4004	89706	4463.5
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"80-84 years"	"80-84"	4266	59380	7184.2
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"85-89 years"	"85-89"	4129	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"90-94 years"	"90-94"	3243	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"95-99 years"	"95-99"	1475	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"100+ years"	"100+"	316	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"< 1 year"	"1"	253	28650	883.1
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"1-4 years"	"1-4"	54	120711	44.7
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"5-9 years"	"5-9"	26	156416	16.6
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"10-14 years"	"10-14"	69	167012	41.3
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"15-19 years"	"15-19"	225	164271	137.0
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"20-24 years"	"20-24"	356	164191	216.8
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"25-29 years"	"25-29"	517	161525	320.1
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"30-34 years"	"30-34"	610	162373	375.7
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"35-39 years"	"35-39"	769	151707	506.9
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"40-44 years"	"40-44"	969	149996	646.0
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"45-49 years"	"45-49"	1219	146438	832.4
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"50-54 years"	"50-54"	1797	157510	1140.9
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"55-59 years"	"55-59"	2686	163607	1641.7
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"60-64 years "	"60-64"	3777	160624	2351.5
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"65-69 years"	"65-69"	4278	137459	3112.2
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"70-74 years"	"70-74"	4816	113473	4244.2
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"75-79 years"	"75-79"	4470	70655	6326.5
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"80-84 years"	"80-84"	4028	41930	9606.5
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"85-89 years"	"85-89"	3090	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"90-94 years"	"90-94"	1702	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"95-99 years"	"95-99"	531	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"100+ years"	"100+"	69	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"1"	27	5215	517.7
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	20818	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	25258	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	24119	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"15-19 years"	"15-19"	Suppressed	21956	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"20-24 years"	"20-24"	19	22645	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"25-29 years"	"25-29"	29	28568	101.5
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"30-34 years"	"30-34"	44	27195	161.8
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"35-39 years"	"35-39"	50	24729	202.2
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"40-44 years"	"40-44"	33	20496	161.0
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"45-49 years"	"45-49"	51	20794	245.3
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"50-54 years"	"50-54"	102	21328	478.2
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"55-59 years"	"55-59"	118	23732	497.2
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"60-64 years "	"60-64"	144	22243	647.4
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"65-69 years"	"65-69"	181	16972	1066.5
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"70-74 years"	"70-74"	188	11389	1650.7
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"75-79 years"	"75-79"	199	6960	2859.2
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"80-84 years"	"80-84"	227	4189	5419.0
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"85-89 years"	"85-89"	214	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"90-94 years"	"90-94"	163	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"95-99 years"	"95-99"	84	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"100+ years"	"100+"	15	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"< 1 year"	"1"	33	5450	605.5
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	21632	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"5-9 years"	"5-9"	11	26798	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	25640	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"15-19 years"	"15-19"	30	24307	123.4
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"20-24 years"	"20-24"	42	30355	138.4
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"25-29 years"	"25-29"	58	33104	175.2
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"30-34 years"	"30-34"	62	29998	206.7
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"35-39 years"	"35-39"	59	26943	219.0
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"40-44 years"	"40-44"	64	22482	284.7
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"45-49 years"	"45-49"	99	22764	434.9
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"50-54 years"	"50-54"	149	23231	641.4
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"55-59 years"	"55-59"	206	25514	807.4
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"60-64 years "	"60-64"	298	23113	1289.3
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"65-69 years"	"65-69"	297	18106	1640.3
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"70-74 years"	"70-74"	283	12088	2341.2
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"75-79 years"	"75-79"	263	6933	3793.5
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"80-84 years"	"80-84"	234	3521	6645.8
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"85-89 years"	"85-89"	197	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"90-94 years"	"90-94"	111	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"95-99 years"	"95-99"	31	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"< 1 year"	"1"	21	4881	430.2
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	20046	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"5-9 years"	"5-9"	Suppressed	25195	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"10-14 years"	"10-14"	Suppressed	23663	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"15-19 years"	"15-19"	16	21516	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"20-24 years"	"20-24"	21	21903	95.9
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"25-29 years"	"25-29"	38	27969	135.9
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"30-34 years"	"30-34"	43	27114	158.6
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"35-39 years"	"35-39"	39	25103	155.4
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"40-44 years"	"40-44"	47	20697	227.1
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"45-49 years"	"45-49"	57	20213	282.0
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"50-54 years"	"50-54"	70	20419	342.8
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"55-59 years"	"55-59"	125	23080	541.6
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"60-64 years "	"60-64"	157	22189	707.6
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"65-69 years"	"65-69"	193	17631	1094.7
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"70-74 years"	"70-74"	208	12162	1710.2
