"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"65-74 years"	"65-74"	5055	139117	3633.6
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"75-84 years"	"75-84"	5913	72852	8116.5
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"85+ years"	"85+"	3360	17701	18982.0
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"< 1 year"	"1"	251	28872	869.4
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"1-4 years"	"1-4"	34	116061	29.3
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"5-14 years"	"5-14"	46	309187	14.9
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"15-24 years"	"15-24"	193	315225	61.2
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"25-34 years"	"25-34"	267	305074	87.5
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"35-44 years"	"35-44"	650	350582	185.4
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"45-54 years"	"45-54"	1205	308445	390.7
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"55-64 years"	"55-64"	1984	218838	906.6
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"65-74 years"	"65-74"	3901	176733	2207.3
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"75-84 years"	"75-84"	6538	122260	5347.6
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"85+ years"	"85+"	7640	49319	15491.0
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"< 1 year"	"1"	345	30229	1141.3
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"1-4 years"	"1-4"	63	120830	52.1
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"5-14 years"	"5-14"	92	326410	28.2
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"15-24 years"	"15-24"	515	316220	162.9
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"25-34 years"	"25-34"	587	297941	197.0
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"35-44 years"	"35-44"	1186	334930	354.1
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"45-54 years"	"45-54"	2060	291764	706.1
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"55-64 years"	"55-64"	3126	196694	1589.3
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"65-74 years"	"65-74"	5091	140015	3636.0
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"75-84 years"	"75-84"	5983	73489	8141.4
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"85+ years"	"85+"	3304	17982	18373.9
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"< 1 year"	"1"	238	30131	789.9
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"1-4 years"	"1-4"	37	115083	32.2
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"5-14 years"	"5-14"	65	307375	21.1
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"15-24 years"	"15-24"	175	319085	54.8
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"25-34 years"	"25-34"	297	298199	99.6
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"35-44 years"	"35-44"	713	346986	205.5
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"45-54 years"	"45-54"	1283	320071	400.8
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"55-64 years"	"55-64"	2083	223539	931.8
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"65-74 years"	"65-74"	3907	176613	2212.2
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"75-84 years"	"75-84"	6593	123531	5337.1
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"85+ years"	"85+"	7737	48883	15827.6
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"< 1 year"	"1"	329	31406	1047.6
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"1-4 years"	"1-4"	61	120004	50.8
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"5-14 years"	"5-14"	96	323766	29.7
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"15-24 years"	"15-24"	531	321522	165.2
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"25-34 years"	"25-34"	554	290750	190.5
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"35-44 years"	"35-44"	1132	331017	342.0
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"45-54 years"	"45-54"	2212	303384	729.1
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"55-64 years"	"55-64"	3044	201485	1510.8
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"65-74 years"	"65-74"	4956	141649	3498.8
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"75-84 years"	"75-84"	5807	75102	7732.2
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"85+ years"	"85+"	3465	18053	19193.5
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"< 1 year"	"1"	243	29134	834.1
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"1-4 years"	"1-4"	44	116056	37.9
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"5-14 years"	"5-14"	59	306012	19.3
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"15-24 years"	"15-24"	233	319841	72.8
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"25-34 years"	"25-34"	311	295326	105.3
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"35-44 years"	"35-44"	701	340884	205.6
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"45-54 years"	"45-54"	1313	323870	405.4
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"55-64 years"	"55-64"	2064	234530	880.1
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"65-74 years"	"65-74"	3713	176149	2107.9
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"75-84 years"	"75-84"	6784	124188	5462.7
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"85+ years"	"85+"	7958	48380	16448.9
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"< 1 year"	"1"	296	29829	992.3
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"1-4 years"	"1-4"	58	121027	47.9
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"5-14 years"	"5-14"	91	321628	28.3
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"15-24 years"	"15-24"	489	323720	151.1
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"25-34 years"	"25-34"	601	288345	208.4
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"35-44 years"	"35-44"	1105	325253	339.7
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"45-54 years"	"45-54"	2261	306036	738.8
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"55-64 years"	"55-64"	3233	212993	1517.9
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"65-74 years"	"65-74"	4869	142310	3421.4
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"75-84 years"	"75-84"	6070	76534	7931.1
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"85+ years"	"85+"	3570	18044	19785.0
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"< 1 year"	"1"	223	28339	786.9
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"1-4 years"	"1-4"	47	116271	40.4
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"5-14 years"	"5-14"	51	305540	16.7
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"15-24 years"	"15-24"	179	321396	55.7
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"25-34 years"	"25-34"	264	295047	89.5
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"35-44 years"	"35-44"	674	335121	201.1
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"45-54 years"	"45-54"	1401	328769	426.1
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"55-64 years"	"55-64"	2239	243415	919.8
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"65-74 years"	"65-74"	3760	176800	2126.7
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"75-84 years"	"75-84"	6839	125846	5434.4
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"85+ years"	"85+"	8134	47525	17115.2
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"< 1 year"	"1"	296	29682	997.2
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"1-4 years"	"1-4"	49	120912	40.5
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"5-14 years"	"5-14"	82	320250	25.6
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"15-24 years"	"15-24"	519	327242	158.6
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"25-34 years"	"25-34"	614	288062	213.1
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"35-44 years"	"35-44"	1215	320230	379.4
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"45-54 years"	"45-54"	2337	310588	752.4
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"55-64 years"	"55-64"	3372	222255	1517.2
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"65-74 years"	"65-74"	4782	144167	3317.0
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"75-84 years"	"75-84"	6153	77992	7889.3
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"85+ years"	"85+"	3485	18042	19316.0
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"< 1 year"	"1"	194	29033	668.2
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"1-4 years"	"1-4"	41	116238	35.3
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"5-14 years"	"5-14"	58	304636	19.0
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"15-24 years"	"15-24"	225	322995	69.7
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"25-34 years"	"25-34"	297	296051	100.3
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"35-44 years"	"35-44"	736	330674	222.6
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"45-54 years"	"45-54"	1438	334010	430.5
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"55-64 years"	"55-64"	2291	253296	904.5
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"65-74 years"	"65-74"	3713	177876	2087.4
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"75-84 years"	"75-84"	6702	125857	5325.1
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"85+ years"	"85+"	7687	47191	16289.1
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"< 1 year"	"1"	322	29894	1077.1
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"1-4 years"	"1-4"	65	120805	53.8
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"5-14 years"	"5-14"	70	319146	21.9
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"15-24 years"	"15-24"	560	328849	170.3
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"25-34 years"	"25-34"	587	287709	204.0
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"35-44 years"	"35-44"	1134	317137	357.6
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"45-54 years"	"45-54"	2305	314363	733.2
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"55-64 years"	"55-64"	3478	232067	1498.7
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"65-74 years"	"65-74"	4718	145835	3235.2
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"75-84 years"	"75-84"	6094	78755	7737.9
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"85+ years"	"85+"	3406	18312	18599.8
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"< 1 year"	"1"	264	29212	903.7
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"1-4 years"	"1-4"	37	116269	31.8
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"5-14 years"	"5-14"	51	303571	16.8
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"15-24 years"	"15-24"	191	325373	58.7
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"25-34 years"	"25-34"	304	297227	102.3
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"35-44 years"	"35-44"	679	328389	206.8
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"45-54 years"	"45-54"	1549	339135	456.8
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"55-64 years"	"55-64"	2366	263210	898.9
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"65-74 years"	"65-74"	3792	179922	2107.6
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"75-84 years"	"75-84"	6774	125891	5380.8
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"85+ years"	"85+"	7925	48224	16433.7
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"< 1 year"	"1"	304	30212	1006.2
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"1-4 years"	"1-4"	50	120748	41.4
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"5-14 years"	"5-14"	76	317907	23.9
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"15-24 years"	"15-24"	536	332107	161.4
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"25-34 years"	"25-34"	643	288604	222.8
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"35-44 years"	"35-44"	1109	314366	352.8
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"45-54 years"	"45-54"	2375	320096	742.0
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"55-64 years"	"55-64"	3710	241277	1537.7
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"65-74 years"	"65-74"	4682	149105	3140.1
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"75-84 years"	"75-84"	6090	79794	7632.2
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"85+ years"	"85+"	3580	19166	18678.9
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"< 1 year"	"1"	236	29848	790.7
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"1-4 years"	"1-4"	42	115932	36.2
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"5-14 years"	"5-14"	55	305683	18.0
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"15-24 years"	"15-24"	215	327579	65.6
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"25-34 years"	"25-34"	327	300430	108.8
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"35-44 years"	"35-44"	743	328049	226.5
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"45-54 years"	"45-54"	1498	345733	433.3
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"55-64 years"	"55-64"	2394	273519	875.3
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"65-74 years"	"65-74"	3595	182941	1965.1
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"75-84 years"	"75-84"	6704	126510	5299.2
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"85+ years"	"85+"	7805	49256	15845.8
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"< 1 year"	"1"	335	30975	1081.5
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"1-4 years"	"1-4"	61	120467	50.6
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"5-14 years"	"5-14"	70	319765	21.9
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"15-24 years"	"15-24"	625	335663	186.2
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"25-34 years"	"25-34"	730	290631	251.2
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"35-44 years"	"35-44"	1128	314657	358.5
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"45-54 years"	"45-54"	2522	326177	773.2
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"55-64 years"	"55-64"	3692	250793	1472.1
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"65-74 years"	"65-74"	4815	153107	3144.9
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"75-84 years"	"75-84"	5796	81244	7134.1
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"85+ years"	"85+"	3588	20022	17920.3
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"< 1 year"	"1"	288	30948	930.6
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"1-4 years"	"1-4"	32	116224	27.5
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"5-14 years"	"5-14"	53	306256	17.3
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"15-24 years"	"15-24"	201	330436	60.8
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"25-34 years"	"25-34"	306	302088	101.3
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"35-44 years"	"35-44"	712	325948	218.4
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"45-54 years"	"45-54"	1505	350063	429.9
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"55-64 years"	"55-64"	2424	282783	857.2
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"65-74 years"	"65-74"	3616	186312	1940.8
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"75-84 years"	"75-84"	6419	126043	5092.7
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"85+ years"	"85+"	7674	50174	15294.8
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"< 1 year"	"1"	353	31959	1104.5
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"1-4 years"	"1-4"	44	121169	36.3
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"5-14 years"	"5-14"	68	320164	21.2
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"15-24 years"	"15-24"	632	338136	186.9
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"25-34 years"	"25-34"	650	291564	222.9
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"35-44 years"	"35-44"	1064	313008	339.9
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"45-54 years"	"45-54"	2452	330732	741.4
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"55-64 years"	"55-64"	3804	259292	1467.1
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"65-74 years"	"65-74"	4867	156299	3113.9
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"75-84 years"	"75-84"	5758	82498	6979.6
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"85+ years"	"85+"	3772	20744	18183.6
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"< 1 year"	"1"	263	31542	833.8
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"1-4 years"	"1-4"	33	118239	27.9
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"5-14 years"	"5-14"	58	305970	19.0
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"15-24 years"	"15-24"	177	333638	53.1
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"25-34 years"	"25-34"	286	304221	94.0
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"35-44 years"	"35-44"	675	322821	209.1
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"45-54 years"	"45-54"	1592	353830	449.9
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"55-64 years"	"55-64"	2571	290035	886.4
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"65-74 years"	"65-74"	3789	192543	1967.9
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"75-84 years"	"75-84"	6500	126235	5149.1
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"85+ years"	"85+"	8087	51183	15800.2
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"< 1 year"	"1"	349	32274	1081.4
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"1-4 years"	"1-4"	60	122787	48.9
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"5-14 years"	"5-14"	67	320215	20.9
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"15-24 years"	"15-24"	530	340693	155.6
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"25-34 years"	"25-34"	696	294555	236.3
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"35-44 years"	"35-44"	1005	309813	324.4
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"45-54 years"	"45-54"	2566	334324	767.5
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"55-64 years"	"55-64"	3937	266305	1478.4
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"65-74 years"	"65-74"	4806	161691	2972.3
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"75-84 years"	"75-84"	5802	83881	6916.9
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"85+ years"	"85+"	3857	21411	18014.1
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"< 1 year"	"1"	240	30462	787.9
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"1-4 years"	"1-4"	38	119487	31.8
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"5-14 years"	"5-14"	52	306626	17.0
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"15-24 years"	"15-24"	193	336154	57.4
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"25-34 years"	"25-34"	320	306876	104.3
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"35-44 years"	"35-44"	720	319030	225.7
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"45-54 years"	"45-54"	1597	355380	449.4
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"55-64 years"	"55-64"	2570	298994	859.5
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"65-74 years"	"65-74"	3781	197699	1912.5
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"75-84 years"	"75-84"	6260	125293	4996.3
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"85+ years"	"85+"	7815	52158	14983.3
