"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	Deaths	Population	Crude Rate
	"2020"	"2020"	"Utah"	"49"	21497	3249879	661.5
	"2020"	"2020"	"Vermont"	"50"	6459	623347	1036.2
	"2020"	"2020"	"Virginia"	"51"	80596	8590563	938.2
	"2020"	"2020"	"Washington"	"53"	63146	7693612	820.8
	"2020"	"2020"	"West Virginia"	"54"	26106	1784787	1462.7
	"2020"	"2020"	"Wisconsin"	"55"	62706	5832655	1075.1
	"2020"	"2020"	"Wyoming"	"56"	5983	582328	1027.4
	"2021"	"2021"	"Alabama"	"01"	68889	5039877	1366.9
	"2021"	"2021"	"Alaska"	"02"	6208	732673	847.3
	"2021"	"2021"	"Arizona"	"04"	81442	7276316	1119.3
	"2021"	"2021"	"Arkansas"	"05"	40070	3025891	1324.2
	"2021"	"2021"	"California"	"06"	333249	39237836	849.3
	"2021"	"2021"	"Colorado"	"08"	48281	5812069	830.7
	"2021"	"2021"	"Connecticut"	"09"	34333	3605597	952.2
	"2021"	"2021"	"Delaware"	"10"	11296	1003384	1125.8
	"2021"	"2021"	"District of Columbia"	"11"	5833	670050	870.5
	"2021"	"2021"	"Florida"	"12"	261369	21781128	1200.0
	"2021"	"2021"	"Georgia"	"13"	112272	10799566	1039.6
	"2021"	"2021"	"Hawaii"	"15"	12816	1441553	889.0
	"2021"	"2021"	"Idaho"	"16"	18346	1900923	965.1
	"2021"	"2021"	"Illinois"	"17"	125048	12671469	986.8
	"2021"	"2021"	"Indiana"	"18"	78317	6805985	1150.7
	"2021"	"2021"	"Iowa"	"19"	34215	3193079	1071.5
	"2021"	"2021"	"Kansas"	"20"	32029	2934582	1091.4
	"2021"	"2021"	"Kentucky"	"21"	60303	4509394	1337.3
	"2021"	"2021"	"Louisiana"	"22"	57533	4624047	1244.2
	"2021"	"2021"	"Maine"	"23"	17269	1372247	1258.4
	"2021"	"2021"	"Maryland"	"24"	58117	6165129	942.7
	"2021"	"2021"	"Massachusetts"	"25"	63115	6984723	903.6
	"2021"	"2021"	"Michigan"	"26"	117782	10050811	1171.9
	"2021"	"2021"	"Minnesota"	"27"	51640	5707390	904.8
	"2021"	"2021"	"Mississippi"	"28"	41085	2949965	1392.7
	"2021"	"2021"	"Missouri"	"29"	73847	6168187	1197.2
	"2021"	"2021"	"Montana"	"30"	12707	1104271	1150.7
	"2021"	"2021"	"Nebraska"	"31"	18925	1963692	963.7
	"2021"	"2021"	"Nevada"	"32"	32923	3143991	1047.2
	"2021"	"2021"	"New Hampshire"	"33"	14198	1388992	1022.2
	"2021"	"2021"	"New Jersey"	"34"	84032	9267130	906.8
	"2021"	"2021"	"New Mexico"	"35"	25300	2115877	1195.7
	"2021"	"2021"	"New York"	"36"	181360	19835913	914.3
	"2021"	"2021"	"North Carolina"	"37"	118093	10551162	1119.2
	"2021"	"2021"	"North Dakota"	"38"	7266	774948	937.6
	"2021"	"2021"	"Ohio"	"39"	147635	11780017	1253.3
	"2021"	"2021"	"Oklahoma"	"40"	50945	3986639	1277.9
	"2021"	"2021"	"Oregon"	"41"	44989	4246155	1059.5
	"2021"	"2021"	"Pennsylvania"	"42"	155390	12964056	1198.6
	"2021"	"2021"	"Rhode Island"	"44"	11243	1095610	1026.2
	"2021"	"2021"	"South Carolina"	"45"	65422	5190705	1260.4
	"2021"	"2021"	"South Dakota"	"46"	9185	895376	1025.8
	"2021"	"2021"	"Tennessee"	"47"	91130	6975218	1306.5
	"2021"	"2021"	"Texas"	"48"	267651	29527941	906.4
	"2021"	"2021"	"Utah"	"49"	22569	3337975	676.1
	"2021"	"2021"	"Vermont"	"50"	6877	645570	1065.3
	"2021"	"2021"	"Virginia"	"51"	85940	8642274	994.4
	"2021"	"2021"	"Washington"	"53"	68689	7738692	887.6
	"2021"	"2021"	"West Virginia"	"54"	29503	1782959	1654.7
	"2021"	"2021"	"Wisconsin"	"55"	60973	5895908	1034.2
	"2021"	"2021"	"Wyoming"	"56"	6582	578803	1137.2
	"2022 (provisional)"	"2022"	"Alabama"	"01"	62293	5039877	1236.0
	"2022 (provisional)"	"2022"	"Alaska"	"02"	5719	732673	780.6
	"2022 (provisional)"	"2022"	"Arizona"	"04"	74082	7276316	1018.1
	"2022 (provisional)"	"2022"	"Arkansas"	"05"	37855	3025891	1251.0
	"2022 (provisional)"	"2022"	"California"	"06"	313165	39237836	798.1
	"2022 (provisional)"	"2022"	"Colorado"	"08"	46787	5812069	805.0
	"2022 (provisional)"	"2022"	"Connecticut"	"09"	34583	3605597	959.1
	"2022 (provisional)"	"2022"	"Delaware"	"10"	11351	1003384	1131.3
	"2022 (provisional)"	"2022"	"District of Columbia"	"11"	5385	670050	803.7
	"2022 (provisional)"	"2022"	"Florida"	"12"	239118	21781128	1097.8
	"2022 (provisional)"	"2022"	"Georgia"	"13"	102340	10799566	947.6
	"2022 (provisional)"	"2022"	"Hawaii"	"15"	13228	1441553	917.6
	"2022 (provisional)"	"2022"	"Idaho"	"16"	17162	1900923	902.8
	"2022 (provisional)"	"2022"	"Illinois"	"17"	122963	12671469	970.4
	"2022 (provisional)"	"2022"	"Indiana"	"18"	75368	6805985	1107.4
	"2022 (provisional)"	"2022"	"Iowa"	"19"	33973	3193079	1064.0
	"2022 (provisional)"	"2022"	"Kansas"	"20"	31551	2934582	1075.1
	"2022 (provisional)"	"2022"	"Kentucky"	"21"	57053	4509394	1265.2
	"2022 (provisional)"	"2022"	"Louisiana"	"22"	52339	4624047	1131.9
	"2022 (provisional)"	"2022"	"Maine"	"23"	17364	1372247	1265.4
	"2022 (provisional)"	"2022"	"Maryland"	"24"	56456	6165129	915.7
	"2022 (provisional)"	"2022"	"Massachusetts"	"25"	63366	6984723	907.2
	"2022 (provisional)"	"2022"	"Michigan"	"26"	110499	10050811	1099.4
	"2022 (provisional)"	"2022"	"Minnesota"	"27"	51222	5707390	897.5
	"2022 (provisional)"	"2022"	"Mississippi"	"28"	37803	2949965	1281.5
	"2022 (provisional)"	"2022"	"Missouri"	"29"	71851	6168187	1164.9
	"2022 (provisional)"	"2022"	"Montana"	"30"	11684	1104271	1058.1
	"2022 (provisional)"	"2022"	"Nebraska"	"31"	18615	1963692	948.0
	"2022 (provisional)"	"2022"	"Nevada"	"32"	30960	3143991	984.7
	"2022 (provisional)"	"2022"	"New Hampshire"	"33"	14515	1388992	1045.0
	"2022 (provisional)"	"2022"	"New Jersey"	"34"	81489	9267130	879.3
	"2022 (provisional)"	"2022"	"New Mexico"	"35"	23655	2115877	1118.0
	"2022 (provisional)"	"2022"	"New York"	"36"	173944	19835913	876.9
	"2022 (provisional)"	"2022"	"North Carolina"	"37"	112609	10551162	1067.3
	"2022 (provisional)"	"2022"	"North Dakota"	"38"	7041	774948	908.6
	"2022 (provisional)"	"2022"	"Ohio"	"39"	138209	11780017	1173.2
	"2022 (provisional)"	"2022"	"Oklahoma"	"40"	47976	3986639	1203.4
	"2022 (provisional)"	"2022"	"Oregon"	"41"	44598	4246155	1050.3
	"2022 (provisional)"	"2022"	"Pennsylvania"	"42"	147180	12964056	1135.3
	"2022 (provisional)"	"2022"	"Rhode Island"	"44"	10704	1095610	977.0
	"2022 (provisional)"	"2022"	"South Carolina"	"45"	61047	5190705	1176.1
	"2022 (provisional)"	"2022"	"South Dakota"	"46"	9016	895376	1007.0
	"2022 (provisional)"	"2022"	"Tennessee"	"47"	84989	6975218	1218.4
	"2022 (provisional)"	"2022"	"Texas"	"48"	241441	29527941	817.7
	"2022 (provisional)"	"2022"	"Utah"	"49"	21886	3337975	655.7
	"2022 (provisional)"	"2022"	"Vermont"	"50"	6971	645570	1079.8
	"2022 (provisional)"	"2022"	"Virginia"	"51"	82930	8642274	959.6
	"2022 (provisional)"	"2022"	"Washington"	"53"	69194	7738692	894.1
	"2022 (provisional)"	"2022"	"West Virginia"	"54"	27506	1782959	1542.7
	"2022 (provisional)"	"2022"	"Wisconsin"	"55"	60588	5895908	1027.6
	"2022 (provisional)"	"2022"	"Wyoming"	"56"	5905	578803	1020.2
	"2023 (provisional and partial)"	"2023"	"Alabama"	"01"	56643	5039877	1123.9
	"2023 (provisional and partial)"	"2023"	"Alaska"	"02"	4986	732673	680.5
	"2023 (provisional and partial)"	"2023"	"Arizona"	"04"	67848	7276316	932.4
	"2023 (provisional and partial)"	"2023"	"Arkansas"	"05"	34829	3025891	1151.0
	"2023 (provisional and partial)"	"2023"	"California"	"06"	285446	39237836	727.5
	"2023 (provisional and partial)"	"2023"	"Colorado"	"08"	43379	5812069	746.4
	"2023 (provisional and partial)"	"2023"	"Connecticut"	"09"	31986	3605597	887.1
	"2023 (provisional and partial)"	"2023"	"Delaware"	"10"	10303	1003384	1026.8
	"2023 (provisional and partial)"	"2023"	"District of Columbia"	"11"	4681	670050	698.6
	"2023 (provisional and partial)"	"2023"	"Florida"	"12"	223893	21781128	1027.9
	"2023 (provisional and partial)"	"2023"	"Georgia"	"13"	90904	10799566	841.7
	"2023 (provisional and partial)"	"2023"	"Hawaii"	"15"	12281	1441553	851.9
	"2023 (provisional and partial)"	"2023"	"Idaho"	"16"	16055	1900923	844.6
	"2023 (provisional and partial)"	"2023"	"Illinois"	"17"	111686	12671469	881.4
	"2023 (provisional and partial)"	"2023"	"Indiana"	"18"	66251	6805985	973.4
	"2023 (provisional and partial)"	"2023"	"Iowa"	"19"	31550	3193079	988.1
	"2023 (provisional and partial)"	"2023"	"Kansas"	"20"	28626	2934582	975.5
	"2023 (provisional and partial)"	"2023"	"Kentucky"	"21"	50127	4509394	1111.6
	"2023 (provisional and partial)"	"2023"	"Louisiana"	"22"	45852	4624047	991.6
	"2023 (provisional and partial)"	"2023"	"Maine"	"23"	16511	1372247	1203.2
	"2023 (provisional and partial)"	"2023"	"Maryland"	"24"	52056	6165129	844.4
	"2023 (provisional and partial)"	"2023"	"Massachusetts"	"25"	60071	6984723	860.0
	"2023 (provisional and partial)"	"2023"	"Michigan"	"26"	100774	10050811	1002.6
	"2023 (provisional and partial)"	"2023"	"Minnesota"	"27"	47879	5707390	838.9
	"2023 (provisional and partial)"	"2023"	"Mississippi"	"28"	33914	2949965	1149.6
	"2023 (provisional and partial)"	"2023"	"Missouri"	"29"	63883	6168187	1035.7
	"2023 (provisional and partial)"	"2023"	"Montana"	"30"	10750	1104271	973.5
	"2023 (provisional and partial)"	"2023"	"Nebraska"	"31"	17484	1963692	890.4
	"2023 (provisional and partial)"	"2023"	"Nevada"	"32"	26318	3143991	837.1
	"2023 (provisional and partial)"	"2023"	"New Hampshire"	"33"	13978	1388992	1006.3
	"2023 (provisional and partial)"	"2023"	"New Jersey"	"34"	73860	9267130	797.0
	"2023 (provisional and partial)"	"2023"	"New Mexico"	"35"	20968	2115877	991.0
	"2023 (provisional and partial)"	"2023"	"New York"	"36"	159991	19835913	806.6
	"2023 (provisional and partial)"	"2023"	"North Carolina"	"37"	104567	10551162	991.0
	"2023 (provisional and partial)"	"2023"	"North Dakota"	"38"	6668	774948	860.4
	"2023 (provisional and partial)"	"2023"	"Ohio"	"39"	123401	11780017	1047.5
	"2023 (provisional and partial)"	"2023"	"Oklahoma"	"40"	42375	3986639	1062.9
	"2023 (provisional and partial)"	"2023"	"Oregon"	"41"	40860	4246155	962.3
	"2023 (provisional and partial)"	"2023"	"Pennsylvania"	"42"	135171	12964056	1042.7
	"2023 (provisional and partial)"	"2023"	"Rhode Island"	"44"	10222	1095610	933.0
	"2023 (provisional and partial)"	"2023"	"South Carolina"	"45"	55724	5190705	1073.5
	"2023 (provisional and partial)"	"2023"	"South Dakota"	"46"	7920	895376	884.5
	"2023 (provisional and partial)"	"2023"	"Tennessee"	"47"	77223	6975218	1107.1
	"2023 (provisional and partial)"	"2023"	"Texas"	"48"	219937	29527941	744.8
	"2023 (provisional and partial)"	"2023"	"Utah"	"49"	20780	3337975	622.5
	"2023 (provisional and partial)"	"2023"	"Vermont"	"50"	6662	645570	1032.0
	"2023 (provisional and partial)"	"2023"	"Virginia"	"51"	75824	8642274	877.4
	"2023 (provisional and partial)"	"2023"	"Washington"	"53"	62982	7738692	813.9
	"2023 (provisional and partial)"	"2023"	"West Virginia"	"54"	23931	1782959	1342.2
	"2023 (provisional and partial)"	"2023"	"Wisconsin"	"55"	56172	5895908	952.7
	"2023 (provisional and partial)"	"2023"	"Wyoming"	"56"	5429	578803	938.0
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Title: 2018_lastweek_yearresstategendersingleyearagegroups"
"Group By: Year; Residence State"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Jan 11, 2024 11:58:04 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2021,"
"and from provisional data for years 2022-2023, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Jan 11, 2024 11:58:04"
"PM"
"---"
Caveats:
"1. The population figures for years 2021 and later are single-race estimates of the July 1 resident population, based on the"
"Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021"
"postcensal series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates"
"of the July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census"
"Bureau on July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from"
"the Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"3. Deaths occurring through December 30, 2023 as of January 7, 2024."
