"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"43 years"	"43"	88	29631	297.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"44 years"	"44"	99	30616	323.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"45 years"	"45"	109	31927	341.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"46 years"	"46"	116	33749	343.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"47 years"	"47"	108	33324	324.1
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"48 years"	"48"	119	31255	380.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"49 years"	"49"	131	30748	426.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"50 years"	"50"	145	30706	472.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"51 years"	"51"	147	31808	462.1
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"52 years"	"52"	181	34199	529.3
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"53 years"	"53"	194	34743	558.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"54 years"	"54"	199	34686	573.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"55 years"	"55"	245	35050	699.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"56 years"	"56"	258	35388	729.1
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"57 years"	"57"	304	35776	849.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"58 years"	"58"	272	34639	785.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"59 years"	"59"	300	34825	861.5
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"60 years"	"60"	319	34790	916.9
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"61 years"	"61"	328	33698	973.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"62 years"	"62"	377	33444	1127.3
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"63 years"	"63"	357	32448	1100.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"64 years"	"64"	373	31075	1200.3
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"65 years"	"65"	391	29974	1304.5
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"66 years"	"66"	411	28908	1421.8
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"67 years"	"67"	411	28702	1432.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"68 years"	"68"	447	28197	1585.3
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"69 years"	"69"	536	27908	1920.6
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"70 years"	"70"	519	28923	1794.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"71 years"	"71"	478	21366	2237.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"72 years"	"72"	532	21275	2500.6
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"73 years"	"73"	532	20699	2570.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"74 years"	"74"	566	21368	2648.8
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"75 years"	"75"	544	18185	2991.5
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"76 years"	"76"	562	16703	3364.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"77 years"	"77"	557	16198	3438.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"78 years"	"78"	599	15270	3922.7
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"79 years"	"79"	651	14541	4477.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"80 years"	"80"	651	12980	5015.4
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"81 years"	"81"	736	12407	5932.1
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"82 years"	"82"	786	11608	6771.2
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"83 years"	"83"	721	10185	7079.0
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"84 years"	"84"	723	9340	7740.9
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"85 years"	"85"	776	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"86 years"	"86"	743	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"87 years"	"87"	775	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"88 years"	"88"	773	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"89 years"	"89"	732	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"90 years"	"90"	699	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"91 years"	"91"	658	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"92 years"	"92"	637	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"93 years"	"93"	542	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"94 years"	"94"	484	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"95 years"	"95"	438	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"96 years"	"96"	319	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"97 years"	"97"	221	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"98 years"	"98"	192	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"99 years"	"99"	137	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"100+ years"	"100"	301	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"< 1 year"	"0"	236	29605	797.2
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"1 year"	"1"	27	29913	90.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"2 years"	"2"	Suppressed	30234	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"3 years"	"3"	17	30037	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"4 years"	"4"	Suppressed	29585	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"5 years"	"5"	Suppressed	29968	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"6 years"	"6"	Suppressed	30653	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"7 years"	"7"	Suppressed	30378	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"8 years"	"8"	Suppressed	30731	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"9 years"	"9"	Suppressed	31796	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"10 years"	"10"	Suppressed	31894	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"11 years"	"11"	Suppressed	31489	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"12 years"	"12"	14	31418	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"13 years"	"13"	Suppressed	31386	Suppressed
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"14 years"	"14"	15	31291	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"15 years"	"15"	14	31330	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"16 years"	"16"	24	33034	72.7
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"17 years"	"17"	23	33319	69.0
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"18 years"	"18"	47	32023	146.8
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"19 years"	"19"	53	32029	165.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"20 years"	"20"	55	31884	172.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"21 years"	"21"	63	32249	195.4
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"22 years"	"22"	75	33268	225.4
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"23 years"	"23"	58	34450	168.4
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"24 years"	"24"	65	34515	188.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"25 years"	"25"	74	34552	214.2
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"26 years"	"26"	83	35168	236.0
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"27 years"	"27"	78	34737	224.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"28 years"	"28"	83	32600	254.6
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"29 years"	"29"	74	30686	241.2
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"30 years"	"30"	75	29994	250.1
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"31 years"	"31"	83	29482	281.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"32 years"	"32"	93	29873	311.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"33 years"	"33"	84	28751	292.2
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"34 years"	"34"	95	29499	322.0
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"35 years"	"35"	93	29767	312.4
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"36 years"	"36"	104	29823	348.7
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"37 years"	"37"	84	30703	273.6
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"38 years"	"38"	112	28363	394.9
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"39 years"	"39"	109	28199	386.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"40 years"	"40"	114	28094	405.8
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"41 years"	"41"	106	27117	390.9
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"42 years"	"42"	113	28389	398.0
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"43 years"	"43"	121	27950	432.9
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"44 years"	"44"	137	28704	477.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"45 years"	"45"	141	30248	466.1
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"46 years"	"46"	175	32015	546.6
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"47 years"	"47"	162	31681	511.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"48 years"	"48"	164	29737	551.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"49 years"	"49"	195	29072	670.7
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"50 years"	"50"	203	29256	693.9
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"51 years"	"51"	235	29998	783.4
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"52 years"	"52"	278	32340	859.6
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"53 years"	"53"	303	32605	929.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"54 years"	"54"	319	32535	980.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"55 years"	"55"	379	32513	1165.7
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"56 years"	"56"	429	32613	1315.4
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"57 years"	"57"	438	33203	1319.2
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"58 years"	"58"	456	31803	1433.8
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"59 years"	"59"	502	31448	1596.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"60 years"	"60"	534	31661	1686.6
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"61 years"	"61"	530	30523	1736.4
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"62 years"	"62"	572	29840	1916.9
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"63 years"	"63"	581	28637	2028.8
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"64 years"	"64"	541	27171	1991.1
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"65 years"	"65"	599	26171	2288.8
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"66 years"	"66"	555	25490	2177.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"67 years"	"67"	609	24878	2447.9
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"68 years"	"68"	645	24332	2650.8
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"69 years"	"69"	647	24133	2681.0
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"70 years"	"70"	719	25082	2866.6
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"71 years"	"71"	602	17826	3377.1
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"72 years"	"72"	565	17720	3188.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"73 years"	"73"	672	17117	3925.9
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"74 years"	"74"	772	17263	4472.0
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"75 years"	"75"	654	14722	4442.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"76 years"	"76"	671	13237	5069.1
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"77 years"	"77"	640	12397	5162.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"78 years"	"78"	661	11354	5821.7
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"79 years"	"79"	657	10552	6226.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"80 years"	"80"	625	9224	6775.8
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"81 years"	"81"	674	8672	7772.1
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"82 years"	"82"	684	7887	8672.5
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"83 years"	"83"	592	6814	8688.0
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"84 years"	"84"	650	5984	10862.3
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"85 years"	"85"	543	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"86 years"	"86"	561	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"87 years"	"87"	526	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"88 years"	"88"	474	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"89 years"	"89"	469	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"90 years"	"90"	436	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"91 years"	"91"	345	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"92 years"	"92"	306	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"93 years"	"93"	249	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"94 years"	"94"	201	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"95 years"	"95"	151	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"96 years"	"96"	113	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"97 years"	"97"	86	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"98 years"	"98"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"99 years"	"99"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"100+ years"	"100"	72	Not Applicable	Not Applicable
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"0"	167	27728	602.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"1 year"	"1"	Suppressed	28443	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"2 years"	"2"	Suppressed	29257	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"3 years"	"3"	Suppressed	29473	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"4 years"	"4"	Suppressed	29038	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"5 years"	"5"	Suppressed	28545	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"6 years"	"6"	Suppressed	29137	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"7 years"	"7"	Suppressed	29030	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"8 years"	"8"	Suppressed	29421	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"9 years"	"9"	Suppressed	29700	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"10 years"	"10"	Suppressed	30972	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"11 years"	"11"	Suppressed	30781	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"12 years"	"12"	Suppressed	30264	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"13 years"	"13"	Suppressed	30108	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"14 years"	"14"	0	30093	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"15 years"	"15"	12	30307	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"16 years"	"16"	11	30409	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"17 years"	"17"	16	31958	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"18 years"	"18"	16	31675	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"19 years"	"19"	16	31348	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"20 years"	"20"	16	32020	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"21 years"	"21"	22	32157	68.4
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"22 years"	"22"	20	32096	62.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"23 years"	"23"	27	32484	83.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"24 years"	"24"	26	32807	79.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"25 years"	"25"	29	32600	89.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"26 years"	"26"	31	33983	91.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"27 years"	"27"	31	35592	87.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"28 years"	"28"	34	35223	96.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"29 years"	"29"	44	33264	132.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"30 years"	"30"	36	31721	113.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"31 years"	"31"	29	30651	94.6
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"32 years"	"32"	35	30910	113.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"33 years"	"33"	46	31481	146.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"34 years"	"34"	39	30718	127.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"35 years"	"35"	46	31081	148.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"36 years"	"36"	64	31353	204.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"37 years"	"37"	62	31350	197.8
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"38 years"	"38"	62	32132	193.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"39 years"	"39"	65	30411	213.7
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"40 years"	"40"	63	30170	208.8
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"41 years"	"41"	86	30249	284.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"42 years"	"42"	77	28941	266.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"43 years"	"43"	90	30074	299.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"44 years"	"44"	85	29603	287.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"45 years"	"45"	94	30594	307.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"46 years"	"46"	105	31963	328.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"47 years"	"47"	131	33905	386.4
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"48 years"	"48"	142	33403	425.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"49 years"	"49"	127	31340	405.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"50 years"	"50"	155	30654	505.6
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"51 years"	"51"	156	30689	508.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"52 years"	"52"	167	31776	525.6
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"53 years"	"53"	165	34036	484.8
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"54 years"	"54"	214	34743	616.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"55 years"	"55"	240	34583	694.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"56 years"	"56"	247	35052	704.7
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"57 years"	"57"	287	35297	813.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"58 years"	"58"	302	35673	846.6
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"59 years"	"59"	316	34646	912.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"60 years"	"60"	330	34722	950.4
