"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"5-14 years"	"5-14"	76	310145	24.5
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"15-24 years"	"15-24"	447	320479	139.5
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"25-34 years"	"25-34"	795	319865	248.5
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"35-44 years"	"35-44"	1139	286580	397.4
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"45-54 years"	"45-54"	2094	298707	701.0
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"55-64 years"	"55-64"	4787	312875	1530.0
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"65-74 years"	"65-74"	6846	230533	2969.6
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"75-84 years"	"75-84"	6793	109296	6215.2
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"85+ years"	"85+"	4797	31322	15315.1
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"< 1 year"	"1"	162	27547	588.1
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"1-4 years"	"1-4"	40	115270	34.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"5-14 years"	"5-14"	35	299382	11.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"15-24 years"	"15-24"	179	314320	56.9
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"25-34 years"	"25-34"	418	328597	127.2
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"35-44 years"	"35-44"	818	308698	265.0
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"45-54 years"	"45-54"	1704	313969	542.7
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"55-64 years"	"55-64"	3833	344359	1113.1
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"65-74 years"	"65-74"	6082	280345	2169.5
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"75-84 years"	"75-84"	8058	151147	5331.2
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"85+ years"	"85+"	9711	60932	15937.4
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"< 1 year"	"1"	242	28699	843.2
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"1-4 years"	"1-4"	50	120404	41.5
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"5-14 years"	"5-14"	69	310232	22.2
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"15-24 years"	"15-24"	549	319071	172.1
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"25-34 years"	"25-34"	953	321949	296.0
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"35-44 years"	"35-44"	1408	287664	489.5
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"45-54 years"	"45-54"	2469	294205	839.2
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"55-64 years"	"55-64"	5752	312922	1838.2
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"65-74 years"	"65-74"	8241	237372	3471.8
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"75-84 years"	"75-84"	8270	112521	7349.7
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"85+ years"	"85+"	5736	31927	17966.0
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"< 1 year"	"1"	191	27162	703.2
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"1-4 years"	"1-4"	44	115279	38.2
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"5-14 years"	"5-14"	42	310800	13.5
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"15-24 years"	"15-24"	217	324253	66.9
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"25-34 years"	"25-34"	561	332525	168.7
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"35-44 years"	"35-44"	1023	319622	320.1
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"45-54 years"	"45-54"	1973	318246	620.0
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"55-64 years"	"55-64"	4318	348142	1240.3
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"65-74 years"	"65-74"	6776	291012	2328.4
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"75-84 years"	"75-84"	8270	149086	5547.1
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"85+ years"	"85+"	9163	55651	16465.1
	"Alabama"	"01"	"2021 "	"2021"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"< 1 year"	"1"	253	28650	883.1
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"1-4 years"	"1-4"	54	120711	44.7
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"5-14 years"	"5-14"	95	323428	29.4
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"15-24 years"	"15-24"	581	328462	176.9
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"25-34 years"	"25-34"	1127	323898	347.9
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"35-44 years"	"35-44"	1738	301703	576.1
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"45-54 years"	"45-54"	3016	303948	992.3
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"55-64 years"	"55-64"	6463	324231	1993.3
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"65-74 years"	"65-74"	9094	250932	3624.1
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"75-84 years"	"75-84"	8498	112585	7548.1
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"85+ years"	"85+"	5392	29551	18246.4
	"Alabama"	"01"	"2021 "	"2021"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"1"	27	5215	517.7
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	20818	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"5-14 years"	"5-14"	11	49377	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"15-24 years"	"15-24"	25	44601	56.1
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"25-34 years"	"25-34"	73	55763	130.9
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"35-44 years"	"35-44"	83	45225	183.5
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"45-54 years"	"45-54"	153	42122	363.2
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"55-64 years"	"55-64"	262	45975	569.9
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"65-74 years"	"65-74"	369	28361	1301.1
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"75-84 years"	"75-84"	426	11149	3821.0
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"85+ years"	"85+"	476	4259	11176.3
	"Alaska"	"02"	"2018"	"2018"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"< 1 year"	"1"	33	5450	605.5
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	21632	Suppressed
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"5-14 years"	"5-14"	15	52438	Unreliable
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"15-24 years"	"15-24"	72	54662	131.7
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"25-34 years"	"25-34"	120	63102	190.2
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"35-44 years"	"35-44"	123	49425	248.9
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"45-54 years"	"45-54"	248	45995	539.2
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"55-64 years"	"55-64"	504	48627	1036.5
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"65-74 years"	"65-74"	580	30194	1920.9
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"75-84 years"	"75-84"	497	10454	4754.2
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"85+ years"	"85+"	345	2594	13299.9
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"< 1 year"	"1"	21	4881	430.2
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	20046	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"5-14 years"	"5-14"	10	48858	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"15-24 years"	"15-24"	37	43419	85.2
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"25-34 years"	"25-34"	81	55083	147.1
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"35-44 years"	"35-44"	86	45800	187.8
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"45-54 years"	"45-54"	127	40632	312.6
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"55-64 years"	"55-64"	282	45269	622.9
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"65-74 years"	"65-74"	401	29793	1346.0
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"75-84 years"	"75-84"	449	11906	3771.2
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"85+ years"	"85+"	504	4440	11351.4
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"< 1 year"	"1"	27	5097	529.7
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	21056	Suppressed
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"5-14 years"	"5-14"	12	51804	Unreliable
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"15-24 years"	"15-24"	88	52974	166.1
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"25-34 years"	"25-34"	146	62505	233.6
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"35-44 years"	"35-44"	156	49965	312.2
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"45-54 years"	"45-54"	208	44498	467.4
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"55-64 years"	"55-64"	487	48070	1013.1
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"65-74 years"	"65-74"	621	31507	1971.0
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"75-84 years"	"75-84"	530	11201	4731.7
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"85+ years"	"85+"	322	2741	11747.5
	"Alaska"	"02"	"2019"	"2019"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"< 1 year"	"1"	19	4748	Unreliable
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	19348	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"5-14 years"	"5-14"	Suppressed	48968	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"15-24 years"	"15-24"	39	42840	91.0
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"25-34 years"	"25-34"	92	54341	169.3
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"35-44 years"	"35-44"	109	46881	232.5
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"45-54 years"	"45-54"	158	39860	396.4
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"55-64 years"	"55-64"	320	44296	722.4
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"65-74 years"	"65-74"	442	31364	1409.3
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"75-84 years"	"75-84"	448	12489	3587.2
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"85+ years"	"85+"	533	4486	11881.4
	"Alaska"	"02"	"2020"	"2020"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"< 1 year"	"1"	30	4958	605.1
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	20695	Suppressed
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"5-14 years"	"5-14"	26	51705	50.3
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"15-24 years"	"15-24"	93	52559	176.9
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"25-34 years"	"25-34"	146	61967	235.6
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"35-44 years"	"35-44"	176	51260	343.3
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"45-54 years"	"45-54"	251	43616	575.5
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"55-64 years"	"55-64"	536	47240	1134.6
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"65-74 years"	"65-74"	692	32794	2110.1
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"75-84 years"	"75-84"	646	11890	5433.1
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"85+ years"	"85+"	397	2853	13915.2
	"Alaska"	"02"	"2020"	"2020"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"< 1 year"	"1"	34	4439	765.9
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"1-4 years"	"1-4"	Suppressed	18929	Suppressed
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"5-14 years"	"5-14"	Suppressed	49691	Suppressed
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"15-24 years"	"15-24"	43	43028	99.9
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"25-34 years"	"25-34"	110	53229	206.7
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"35-44 years"	"35-44"	137	48018	285.3
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"45-54 years"	"45-54"	201	39164	513.2
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"55-64 years"	"55-64"	334	43150	774.0
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"65-74 years"	"65-74"	573	32325	1772.6
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"75-84 years"	"75-84"	547	12429	4401.0
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"85+ years"	"85+"	574	4067	14113.6
	"Alaska"	"02"	"2021 "	"2021"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"< 1 year"	"1"	36	4797	750.5
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"1-4 years"	"1-4"	Suppressed	19946	Suppressed
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"5-14 years"	"5-14"	Suppressed	52674	Suppressed
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"15-24 years"	"15-24"	100	52756	189.6
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"25-34 years"	"25-34"	192	60325	318.3
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"35-44 years"	"35-44"	239	53639	445.6
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"45-54 years"	"45-54"	330	43999	750.0
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"55-64 years"	"55-64"	668	47226	1414.5
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"65-74 years"	"65-74"	864	34101	2533.7
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"75-84 years"	"75-84"	731	12070	6056.3
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"85+ years"	"85+"	472	2671	17671.3
	"Alaska"	"02"	"2021 "	"2021"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"1"	196	40794	480.5
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"1-4 years"	"1-4"	41	172182	23.8
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"5-14 years"	"5-14"	49	455058	10.8
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"15-24 years"	"15-24"	223	467659	47.7
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"25-34 years"	"25-34"	401	474481	84.5
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"35-44 years"	"35-44"	608	434958	139.8
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"45-54 years"	"45-54"	1305	429406	303.9
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"55-64 years"	"55-64"	2782	453093	614.0
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"65-74 years"	"65-74"	4717	386574	1220.2
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"75-84 years"	"75-84"	6831	208008	3284.0
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"85+ years"	"85+"	10017	84094	11911.7
	"Arizona"	"04"	"2018"	"2018"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"< 1 year"	"1"	255	42759	596.4
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"1-4 years"	"1-4"	73	180201	40.5
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"5-14 years"	"5-14"	82	473089	17.3
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"15-24 years"	"15-24"	636	498311	127.6
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"25-34 years"	"25-34"	1049	511364	205.1
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"35-44 years"	"35-44"	1112	445473	249.6
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"45-54 years"	"45-54"	2175	421384	516.2
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"55-64 years"	"55-64"	4676	413184	1131.7
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"65-74 years"	"65-74"	6820	339588	2008.3
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"75-84 years"	"75-84"	8062	181805	4434.4
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"85+ years"	"85+"	7171	58181	12325.3
	"Arizona"	"04"	"2018"	"2018"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"< 1 year"	"1"	181	40021	452.3
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"1-4 years"	"1-4"	40	170253	23.5
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"5-14 years"	"5-14"	52	456421	11.4
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"15-24 years"	"15-24"	222	472432	47.0
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"25-34 years"	"25-34"	408	484280	84.2
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"35-44 years"	"35-44"	630	442046	142.5
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"45-54 years"	"45-54"	1258	429646	292.8
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"55-64 years"	"55-64"	2877	460049	625.4
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"65-74 years"	"65-74"	5061	401078	1261.8
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"75-84 years"	"75-84"	6998	220061	3180.0
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"85+ years"	"85+"	9884	85133	11610.1
	"Arizona"	"04"	"2019"	"2019"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"< 1 year"	"1"	248	41908	591.8
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"1-4 years"	"1-4"	41	177606	23.1
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"5-14 years"	"5-14"	91	474324	19.2
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"15-24 years"	"15-24"	623	501115	124.3
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"25-34 years"	"25-34"	1102	522813	210.8
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"35-44 years"	"35-44"	1299	453981	286.1
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"45-54 years"	"45-54"	2131	422444	504.4
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"55-64 years"	"55-64"	4585	420745	1089.7
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"65-74 years"	"65-74"	6898	350621	1967.4
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"75-84 years"	"75-84"	8420	191136	4405.2
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"85+ years"	"85+"	7185	60604	11855.7
	"Arizona"	"04"	"2019"	"2019"	"Male"	"M"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"< 1 year"	"1"	177	39827	444.4
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"1-4 years"	"1-4"	48	168007	28.6
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"5-14 years"	"5-14"	61	459378	13.3
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"15-24 years"	"15-24"	254	479710	52.9
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"25-34 years"	"25-34"	591	495823	119.2
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"35-44 years"	"35-44"	867	450370	192.5
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"45-54 years"	"45-54"	1569	433764	361.7
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"55-64 years"	"55-64"	3685	466773	789.5
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"65-74 years"	"65-74"	6397	420854	1520.0
	"Arizona"	"04"	"2020"	"2020"	"Female"	"F"	"75-84 years"	"75-84"	8828	232794	3792.2
