"Notes"	"Year"	"Year Code"	"Residence State"	"Residence State Code"	"Gender"	"Gender Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"10-14 years"	"10-14"	Suppressed	25640	Suppressed
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"15-19 years"	"15-19"	30	24307	123.4
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"20-24 years"	"20-24"	42	30355	138.4
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"25-29 years"	"25-29"	58	33104	175.2
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"30-34 years"	"30-34"	62	29998	206.7
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"35-39 years"	"35-39"	59	26943	219.0
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"40-44 years"	"40-44"	64	22482	284.7
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"45-49 years"	"45-49"	99	22764	434.9
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"50-54 years"	"50-54"	149	23231	641.4
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"55-59 years"	"55-59"	206	25514	807.4
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"60-64 years "	"60-64"	298	23113	1289.3
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"65-69 years"	"65-69"	297	18106	1640.3
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"70-74 years"	"70-74"	283	12088	2341.2
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"75-79 years"	"75-79"	263	6933	3793.5
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"80-84 years"	"80-84"	234	3521	6645.8
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"85-89 years"	"85-89"	197	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"90-94 years"	"90-94"	111	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"95-99 years"	"95-99"	31	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"100+ years"	"100+"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"< 1 year"	"1"	196	40794	480.5
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"1-4 years"	"1-4"	41	172182	23.8
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"5-9 years"	"5-9"	18	221530	Unreliable
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"10-14 years"	"10-14"	31	233528	13.3
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"15-19 years"	"15-19"	89	231635	38.4
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"20-24 years"	"20-24"	134	236024	56.8
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"25-29 years"	"25-29"	180	248857	72.3
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"30-34 years"	"30-34"	221	225624	98.0
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"35-39 years"	"35-39"	290	225128	128.8
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"40-44 years"	"40-44"	318	209830	151.6
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"45-49 years"	"45-49"	539	216819	248.6
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"50-54 years"	"50-54"	766	212587	360.3
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"55-59 years"	"55-59"	1189	228169	521.1
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"60-64 years "	"60-64"	1593	224924	708.2
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"65-69 years"	"65-69"	2065	208476	990.5
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"70-74 years"	"70-74"	2652	178098	1489.1
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"75-79 years"	"75-79"	3243	127679	2540.0
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"80-84 years"	"80-84"	3588	80329	4466.6
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"85-89 years"	"85-89"	4029	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"90-94 years"	"90-94"	3747	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"95-99 years"	"95-99"	1841	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"100+ years"	"100+"	400	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"< 1 year"	"1"	255	42759	596.4
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"1-4 years"	"1-4"	73	180201	40.5
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"5-9 years"	"5-9"	28	230196	12.2
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"10-14 years"	"10-14"	54	242893	22.2
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"15-19 years"	"15-19"	205	242159	84.7
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"20-24 years"	"20-24"	431	256152	168.3
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"25-29 years"	"25-29"	526	269123	195.4
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"30-34 years"	"30-34"	523	242241	215.9
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"35-39 years"	"35-39"	545	233759	233.1
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"40-44 years"	"40-44"	567	211714	267.8
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"45-49 years"	"45-49"	883	215346	410.0
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"50-54 years"	"50-54"	1292	206038	627.1
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"55-59 years"	"55-59"	2045	213916	956.0
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"60-64 years "	"60-64"	2631	199268	1320.3
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"65-69 years"	"65-69"	3066	181253	1691.6
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"70-74 years"	"70-74"	3754	158335	2370.9
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"75-79 years"	"75-79"	4021	111815	3596.1
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"80-84 years"	"80-84"	4041	69990	5773.7
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"85-89 years"	"85-89"	3827	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"90-94 years"	"90-94"	2432	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"95-99 years"	"95-99"	814	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"100+ years"	"100+"	98	Not Applicable	Not Applicable
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"< 1 year"	"1"	126	17998	700.1
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"1-4 years"	"1-4"	31	74614	41.5
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"5-9 years"	"5-9"	17	94360	Unreliable
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"10-14 years"	"10-14"	19	98147	Unreliable
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"15-19 years"	"15-19"	41	96352	42.6
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"20-24 years"	"20-24"	59	98968	59.6
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"25-29 years"	"25-29"	83	102518	81.0
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"30-34 years"	"30-34"	121	94988	127.4
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"35-39 years"	"35-39"	164	95903	171.0
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"40-44 years"	"40-44"	202	89269	226.3
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"45-49 years"	"45-49"	312	93445	333.9
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"50-54 years"	"50-54"	526	93842	560.5
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"55-59 years"	"55-59"	789	101621	776.4
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"60-64 years "	"60-64"	1075	97841	1098.7
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"65-69 years"	"65-69"	1321	86471	1527.7
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"70-74 years"	"70-74"	1631	71471	2282.0
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"75-79 years"	"75-79"	1873	52452	3570.9
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"80-84 years"	"80-84"	2134	35379	6031.8
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"85-89 years"	"85-89"	2134	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"90-94 years"	"90-94"	1845	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"95-99 years"	"95-99"	832	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"100+ years"	"100+"	212	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"< 1 year"	"1"	153	18903	809.4
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"1-4 years"	"1-4"	31	78828	39.3
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"5-9 years"	"5-9"	18	98924	Unreliable
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"10-14 years"	"10-14"	24	102639	23.4
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"15-19 years"	"15-19"	96	101355	94.7
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"20-24 years"	"20-24"	169	102670	164.6
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"25-29 years"	"25-29"	193	103979	185.6
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"30-34 years"	"30-34"	223	95103	234.5
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"35-39 years"	"35-39"	303	95770	316.4
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"40-44 years"	"40-44"	314	87576	358.5
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"45-49 years"	"45-49"	499	90727	550.0
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"50-54 years"	"50-54"	722	90653	796.4
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"55-59 years"	"55-59"	1164	96542	1205.7
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"60-64 years "	"60-64"	1627	88463	1839.2
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"65-69 years"	"65-69"	1790	76090	2352.5
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"70-74 years"	"70-74"	2024	61979	3265.6
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"75-79 years"	"75-79"	2166	42782	5062.9
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"80-84 years"	"80-84"	2089	26186	7977.5
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"85-89 years"	"85-89"	1710	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"90-94 years"	"90-94"	1095	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"95-99 years"	"95-99"	327	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"100+ years"	"100+"	52	Not Applicable	Not Applicable
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"< 1 year"	"1"	847	233156	363.3
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"1-4 years"	"1-4"	137	958629	14.3
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"5-9 years"	"5-9"	95	1217258	7.8
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"10-14 years"	"10-14"	126	1245877	10.1
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"15-19 years"	"15-19"	281	1245863	22.6
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"20-24 years"	"20-24"	492	1315837	37.4
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"25-29 years"	"25-29"	666	1510265	44.1
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"30-34 years"	"30-34"	842	1414252	59.5
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"35-39 years"	"35-39"	1197	1354752	88.4
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"40-44 years"	"40-44"	1379	1248032	110.5
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"45-49 years"	"45-49"	2276	1289137	176.6
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"50-54 years"	"50-54"	3432	1257166	273.0
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"55-59 years"	"55-59"	5436	1282644	423.8
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"60-64 years "	"60-64"	7450	1174129	634.5
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"65-69 years"	"65-69"	9168	983722	932.0
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"70-74 years"	"70-74"	11211	772616	1451.0
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"75-79 years"	"75-79"	13176	541583	2432.9
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"80-84 years"	"80-84"	16452	380440	4324.5
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"85-89 years"	"85-89"	20090	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"90-94 years"	"90-94"	20209	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"95-99 years"	"95-99"	10976	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"100+ years"	"100+"	2760	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Female"	"F"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"< 1 year"	"1"	1062	244164	435.0
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"1-4 years"	"1-4"	205	1005351	20.4
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"5-9 years"	"5-9"	120	1271644	9.4
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"10-14 years"	"10-14"	137	1302096	10.5
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"15-19 years"	"15-19"	687	1299512	52.9
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"20-24 years"	"20-24"	1455	1395963	104.2
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"25-29 years"	"25-29"	1845	1615551	114.2
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"30-34 years"	"30-34"	2006	1503731	133.4
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"35-39 years"	"35-39"	2301	1400228	164.3
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"40-44 years"	"40-44"	2536	1252659	202.4
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"45-49 years"	"45-49"	3822	1278946	298.8
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"50-54 years"	"50-54"	5935	1246725	476.0
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"55-59 years"	"55-59"	9278	1236166	750.5
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"60-64 years "	"60-64"	12034	1088287	1105.8
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"65-69 years"	"65-69"	13664	869380	1571.7
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"70-74 years"	"70-74"	14760	659696	2237.4
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"75-79 years"	"75-79"	15396	435135	3538.2
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"80-84 years"	"80-84"	16715	282868	5909.1
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"85-89 years"	"85-89"	17280	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"90-94 years"	"90-94"	12704	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"95-99 years"	"95-99"	5323	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"100+ years"	"100+"	831	Not Applicable	Not Applicable
	"2018"	"2018"	"California"	"06"	"Male"	"M"	"Not Stated"	"NS"	19	Not Applicable	Not Applicable
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"< 1 year"	"1"	131	32327	405.2
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"1-4 years"	"1-4"	34	132652	25.6
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"5-9 years"	"5-9"	15	169707	Unreliable
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"10-14 years"	"10-14"	29	178620	16.2
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"15-19 years"	"15-19"	57	176272	32.3
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"20-24 years"	"20-24"	89	180068	49.4
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"25-29 years"	"25-29"	106	216289	49.0
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"30-34 years"	"30-34"	175	210403	83.2
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"35-39 years"	"35-39"	184	201221	91.4
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"40-44 years"	"40-44"	244	177607	137.4
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"45-49 years"	"45-49"	360	179672	200.4
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"50-54 years"	"50-54"	525	171174	306.7
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"55-59 years"	"55-59"	807	187435	430.5
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"60-64 years "	"60-64"	1075	176640	608.6
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"65-69 years"	"65-69"	1315	149836	877.6
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"70-74 years"	"70-74"	1652	111186	1485.8
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	"75-79 years"	"75-79"	1945	72711	2675.0
