"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Nebraska"	"31"	"2021 "	"2021"	18925	1963692	963.7
	"Nevada"	"32"	"2018"	"2018"	24715	3034392	814.5
	"Nevada"	"32"	"2019"	"2019"	25586	3080156	830.7
	"Nevada"	"32"	"2020"	"2020"	30618	3138259	975.6
	"Nevada"	"32"	"2021 "	"2021"	32923	3143991	1047.2
	"New Hampshire"	"33"	"2018"	"2018"	12774	1356458	941.7
	"New Hampshire"	"33"	"2019"	"2019"	12744	1359711	937.3
	"New Hampshire"	"33"	"2020"	"2020"	13700	1366275	1002.7
	"New Hampshire"	"33"	"2021 "	"2021"	14198	1388992	1022.2
	"New Jersey"	"34"	"2018"	"2018"	75765	8908520	850.5
	"New Jersey"	"34"	"2019"	"2019"	75010	8882190	844.5
	"New Jersey"	"34"	"2020"	"2020"	96003	8882371	1080.8
	"New Jersey"	"34"	"2021 "	"2021"	84032	9267130	906.8
	"New Mexico"	"35"	"2018"	"2018"	19007	2095428	907.1
	"New Mexico"	"35"	"2019"	"2019"	19512	2096829	930.5
	"New Mexico"	"35"	"2020"	"2020"	23807	2106319	1130.3
	"New Mexico"	"35"	"2021 "	"2021"	25300	2115877	1195.7
	"New York"	"36"	"2018"	"2018"	157183	19542209	804.3
	"New York"	"36"	"2019"	"2019"	156375	19453561	803.8
	"New York"	"36"	"2020"	"2020"	203341	19336776	1051.6
	"New York"	"36"	"2021 "	"2021"	181360	19835913	914.3
	"North Carolina"	"37"	"2018"	"2018"	93885	10383620	904.2
	"North Carolina"	"37"	"2019"	"2019"	95881	10488084	914.2
	"North Carolina"	"37"	"2020"	"2020"	109449	10600823	1032.5
	"North Carolina"	"37"	"2021 "	"2021"	118093	10551162	1119.2
	"North Dakota"	"38"	"2018"	"2018"	6445	760077	847.9
	"North Dakota"	"38"	"2019"	"2019"	6702	762062	879.5
	"North Dakota"	"38"	"2020"	"2020"	8052	765309	1052.1
	"North Dakota"	"38"	"2021 "	"2021"	7266	774948	937.6
	"Ohio"	"39"	"2018"	"2018"	124264	11689442	1063.0
	"Ohio"	"39"	"2019"	"2019"	123717	11689100	1058.4
	"Ohio"	"39"	"2020"	"2020"	143700	11693217	1228.9
	"Ohio"	"39"	"2021 "	"2021"	147635	11780017	1253.3
	"Oklahoma"	"40"	"2018"	"2018"	40933	3943079	1038.1
	"Oklahoma"	"40"	"2019"	"2019"	40930	3956971	1034.4
	"Oklahoma"	"40"	"2020"	"2020"	47809	3980783	1201.0
	"Oklahoma"	"40"	"2021 "	"2021"	50945	3986639	1277.9
	"Oregon"	"41"	"2018"	"2018"	36187	4190713	863.5
	"Oregon"	"41"	"2019"	"2019"	37370	4217737	886.0
	"Oregon"	"41"	"2020"	"2020"	40220	4241507	948.2
	"Oregon"	"41"	"2021 "	"2021"	44989	4246155	1059.5
	"Pennsylvania"	"42"	"2018"	"2018"	134702	12807060	1051.8
	"Pennsylvania"	"42"	"2019"	"2019"	133983	12801989	1046.6
	"Pennsylvania"	"42"	"2020"	"2020"	155546	12783254	1216.8
	"Pennsylvania"	"42"	"2021 "	"2021"	155390	12964056	1198.6
	"Rhode Island"	"44"	"2018"	"2018"	10083	1057315	953.6
	"Rhode Island"	"44"	"2019"	"2019"	10256	1059361	968.1
	"Rhode Island"	"44"	"2020"	"2020"	11819	1057125	1118.0
	"Rhode Island"	"44"	"2021 "	"2021"	11243	1095610	1026.2
	"South Carolina"	"45"	"2018"	"2018"	50640	5084127	996.0
	"South Carolina"	"45"	"2019"	"2019"	50962	5148714	989.8
	"South Carolina"	"45"	"2020"	"2020"	61223	5218040	1173.3
	"South Carolina"	"45"	"2021 "	"2021"	65422	5190705	1260.4
	"South Dakota"	"46"	"2018"	"2018"	7971	882235	903.5
	"South Dakota"	"46"	"2019"	"2019"	8270	884659	934.8
	"South Dakota"	"46"	"2020"	"2020"	9861	892717	1104.6
	"South Dakota"	"46"	"2021 "	"2021"	9185	895376	1025.8
	"Tennessee"	"47"	"2018"	"2018"	71078	6770010	1049.9
	"Tennessee"	"47"	"2019"	"2019"	71935	6829174	1053.3
	"Tennessee"	"47"	"2020"	"2020"	84205	6886834	1222.7
	"Tennessee"	"47"	"2021 "	"2021"	91130	6975218	1306.5
	"Texas"	"48"	"2018"	"2018"	202211	28701845	704.5
	"Texas"	"48"	"2019"	"2019"	203362	28995881	701.3
	"Texas"	"48"	"2020"	"2020"	250339	29360759	852.6
	"Texas"	"48"	"2021 "	"2021"	267651	29527941	906.4
	"Utah"	"49"	"2018"	"2018"	18354	3161105	580.6
	"Utah"	"49"	"2019"	"2019"	18736	3205958	584.4
	"Utah"	"49"	"2020"	"2020"	21497	3249879	661.5
	"Utah"	"49"	"2021 "	"2021"	22569	3337975	676.1
	"Vermont"	"50"	"2018"	"2018"	6027	626299	962.3
	"Vermont"	"50"	"2019"	"2019"	5956	623989	954.5
	"Vermont"	"50"	"2020"	"2020"	6459	623347	1036.2
	"Vermont"	"50"	"2021 "	"2021"	6877	645570	1065.3
	"Virginia"	"51"	"2018"	"2018"	69359	8517685	814.3
	"Virginia"	"51"	"2019"	"2019"	70325	8535519	823.9
	"Virginia"	"51"	"2020"	"2020"	80596	8590563	938.2
	"Virginia"	"51"	"2021 "	"2021"	85940	8642274	994.4
	"Washington"	"53"	"2018"	"2018"	56877	7535591	754.8
	"Washington"	"53"	"2019"	"2019"	58263	7614893	765.1
	"Washington"	"53"	"2020"	"2020"	63146	7693612	820.8
	"Washington"	"53"	"2021 "	"2021"	68689	7738692	887.6
	"West Virginia"	"54"	"2018"	"2018"	23478	1805832	1300.1
	"West Virginia"	"54"	"2019"	"2019"	23404	1792147	1305.9
	"West Virginia"	"54"	"2020"	"2020"	26106	1784787	1462.7
	"West Virginia"	"54"	"2021 "	"2021"	29503	1782959	1654.7
	"Wisconsin"	"55"	"2018"	"2018"	53684	5813568	923.4
	"Wisconsin"	"55"	"2019"	"2019"	54189	5822434	930.7
	"Wisconsin"	"55"	"2020"	"2020"	62706	5832655	1075.1
	"Wisconsin"	"55"	"2021 "	"2021"	60973	5895908	1034.2
	"Wyoming"	"56"	"2018"	"2018"	5070	577737	877.6
	"Wyoming"	"56"	"2019"	"2019"	5121	578759	884.8
	"Wyoming"	"56"	"2020"	"2020"	5983	582328	1027.4
	"Wyoming"	"56"	"2021 "	"2021"	6582	578803	1137.2
"---"
"Dataset: Multiple Cause of Death, 2018-2021, Single Race"
"Query Parameters:"
"Title: final_2018_2021_year_state"
"Group By: State; Year"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-expanded.html for more information."
"---"
"Query Date: Jan 12, 2024 1:17:28 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 2018-2021 on CDC WONDER Online Database, released in 2023. Data are from the Multiple Cause of Death Files,"
"2018-2021, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10-expanded.html on Jan 12, 2024 1:17:28 AM"
"---"
Caveats:
"1. The population figures for year 2021 are single-race estimates of the July 1 resident population, based on the Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count, from the Vintage 2021 postcensal"
"series released by the Census Bureau on June 30, 2022. The population figures for year 2020 are single-race estimates of the"
"July 1 resident population, from the Vintage 2020 postcensal series based on April 2010 Census, released by the Census Bureau on"
"July 27, 2021. The population figures for year 2019 are single-race estimates of the July 1 resident population, from the"
"Vintage 2019 postcensal series based on April 2010 Census, released by the Census Bureau on June 25, 2020. The population"
"figures for year 2018 are single-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series based"
"on April 2010 Census, released by the Census Bureau on June 20, 2019. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Population Data."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-expanded.html#Age"
"Group."
